,,Test 1,Test 1,Test 1,Test 1,Test 1,Test 2,Test 2,Test 2,Test 2,Test 2
Model Name,Decoder,PE,SDR 2mm,SDR 2.5mm,SDR 3mm,SDR 4mm,PE,SDR 2mm,SDR 2.5mm,SDR 3mm,SDR 4mm
ONE HOT,local soft argmax,1.3149,84.26,90.47,93.16,96.58,1.2497,84.53,90.11,93.63,96.67999999999999
ONE HOT ENSEMBLE,weighted spatial mean,1.0861,88.11,93.16,95.95,98.32,1.116,87.42,93.0,95.53,98.05
ONE HOT ENSEMBLE LS,argmax,1.1232,87.37,92.47,95.11,97.68,1.1367,86.74,92.36999999999999,94.89,97.84
ONE HOT ENSEMBLE LS,local soft argmax,1.1233,87.42,92.53,95.16,97.68,1.1367,86.79,92.42,94.84,97.84
ONE HOT TTA,local soft argmax,1.2036,86.53,91.32000000000001,94.05,97.16,1.1591,86.37,90.84,93.63,97.16
ONE HOT TTA LS,local soft argmax,1.1994,86.74,91.89,94.21000000000001,97.53,1.1843,85.74000000000001,91.32000000000001,94.05,97.47
