,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
10,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,10,455.86956787109375,6667.12646484375,1651.8946533203125,824.8276977539062,1.5016056299209595,124.01274108886719,129.2430419921875,1115.70849609375,1681.3975830078125,528.1029052734375,640.440673828125,642.5299682617188,1264.499755859375,283.2815246582031,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.153361,15.726379,8.560382,3.6974735,2.0205603,3.2574728,2.9611354,10.180426,5.7597303,4.144811,4.0249634,9.445526,11.110665,3.2109704,weighted_spatial_mean,MML_shr_unet,True
11,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,11,6.7499823570251465,15.231395721435547,895.3506469726562,560.3790893554688,1115.8670654296875,35.62581253051758,45.91717529296875,21.648469924926758,2.091597318649292,1.7035120725631714,4.3181962966918945,515.0452270507812,4.837038516998291,6.801813125610352,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.8827751,1.5542911,16.025114,6.283854,7.1229587,1.6311706,1.423797,1.9738971,1.9426984,0.96849906,1.0951953,7.325767,0.9015816,1.4197167,weighted_spatial_mean,MML_shr_unet,True
12,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,12,2179.123779296875,4162.8212890625,173.14566040039062,317.1866455078125,6918.0732421875,2090.01318359375,4485.6328125,1623.16650390625,2233.573974609375,243.10931396484375,1282.1409912109375,3464.91943359375,2107.512451171875,1129.631591796875,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,13.155604,8.023937,3.8628395,0.6490306,22.245672,6.213935,14.444133,9.055549,5.3598356,3.5244117,3.2510896,14.438571,6.327079,3.5184104,weighted_spatial_mean,MML_shr_unet,True
13,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,13,883.6838989257812,107.80994415283203,40.46356201171875,6.589452743530273,1913.3603515625,54.463802337646484,60.642913818359375,203.03321838378906,129.37521362304688,335.7214050292969,399.2375793457031,52.19511795043945,90.88436126708984,88.22921752929688,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.501207,6.9363413,1.3455908,3.0203965,8.970528,2.3929944,1.35445,3.9084444,1.6776041,7.86371,6.848539,1.8139666,6.8446097,4.217414,weighted_spatial_mean,MML_shr_unet,True
14,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,14,48.422542572021484,72.12349700927734,14.164300918579102,13.829882621765137,233.4303741455078,2.48038649559021,7.020910263061523,6.530196666717529,104.12837219238281,5.963619709014893,8.640639305114746,1441.5770263671875,14.468358993530273,47.62376022338867,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.975318,1.1070361,0.6656687,0.7474575,1.8672875,2.152769,1.1389896,1.9706268,1.5576038,1.5669032,0.78897256,7.830279,1.9482014,2.2071493,weighted_spatial_mean,MML_shr_unet,True
15,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,15,1.391793966293335,8.64377498626709,11.163058280944824,14.961514472961426,320.0580139160156,177.60662841796875,35.75969314575195,11.207054138183594,1.0385125875473022,1.5187909603118896,1.2837992906570435,2.483912944793701,124.2566909790039,29.115806579589844,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.69952613,1.1096405,1.2157432,1.250227,4.1160984,6.118616,3.1008942,1.8464572,0.6992247,1.3147644,0.6515349,1.610595,1.8869766,3.0668423,weighted_spatial_mean,MML_shr_unet,True
16,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,16,2.217020273208618,8.396570205688477,232.555908203125,285.02618408203125,41.87187957763672,16.102563858032227,31.905458450317383,6.780553817749023,52.8941650390625,6.615829944610596,28.83574676513672,514.6875,6.90745210647583,10.461277961730957,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8500763,1.2488091,5.235462,4.73397,2.0789945,3.0825708,1.4806985,0.42060247,1.3483328,0.8321636,1.0782688,12.784755,0.45844123,1.7503252,weighted_spatial_mean,MML_shr_unet,True
17,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,17,92.80504608154297,3.3597326278686523,824.0509643554688,112.95645141601562,62.46478271484375,227.60980224609375,386.7098693847656,2.3617985248565674,1.697005033493042,1.6373177766799927,1.9462542533874512,2.423367738723755,116.51387023925781,16.466663360595703,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.116251,1.6528277,12.020124,2.2956324,2.0930665,3.1949496,5.813548,0.60757494,1.2681525,1.039287,0.20086834,0.5909432,1.5397166,2.7557755,weighted_spatial_mean,MML_shr_unet,True
18,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,18,1.160840630531311,5.803238868713379,5.942122459411621,10.898438453674316,52.095218658447266,10.183239936828613,193.6339874267578,31.880041122436523,94.59111785888672,2.841132879257202,13.302041053771973,12.891164779663086,44.29416275024414,10.351161003112793,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8928892,0.64084417,1.2632146,0.9656668,1.6152736,0.99271804,2.4305959,1.1155035,2.3749495,0.6387289,0.5060467,1.6948836,0.4877399,1.0504298,weighted_spatial_mean,MML_shr_unet,True
19,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,19,683.7091064453125,621.7344970703125,69.24169921875,33.85933303833008,1618.780029296875,3.479546070098877,7.802900791168213,849.92919921875,7.642731189727783,28.36450958251953,10.252731323242188,0.5969513654708862,90.02483367919922,50.30713653564453,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.8856506,2.89726,1.1881816,1.4793901,10.849256,1.2229854,2.4385173,8.022886,1.6021168,0.56949943,0.34921587,1.2188053,1.8153602,2.0962389,weighted_spatial_mean,MML_shr_unet,True
20,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,20,133.64405822753906,2557.158203125,148.29306030273438,135.3556365966797,4488.9599609375,161.462890625,149.5941162109375,634.4678955078125,12.944279670715332,4127.71240234375,7215.90234375,1070.6678466796875,63.87652587890625,24.516630172729492,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.381436,8.238268,1.6331688,1.4227334,16.54645,2.6293492,2.3773377,7.0424595,0.92145216,20.856602,15.973653,5.7091084,3.5367675,3.5808449,weighted_spatial_mean,MML_shr_unet,True
21,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,21,7.172739505767822,43.853092193603516,3144.81884765625,1753.9989013671875,14.567870140075684,11.316224098205566,9.564995765686035,411.4534606933594,1274.208984375,364.27655029296875,200.44972229003906,1051.8890380859375,47.86722183227539,14.134405136108398,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5457081,1.1061411,13.639201,9.749598,1.5883077,1.6479226,1.5690346,4.6795335,5.273082,3.137846,2.16192,5.2310963,1.5736789,0.74118817,weighted_spatial_mean,MML_shr_unet,True
22,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,22,4.1294755935668945,17.56807518005371,23.927398681640625,52.549346923828125,444.0602111816406,232.6147003173828,133.63107299804688,97.34774780273438,50.82828140258789,6.927108287811279,10.232378959655762,47.47151565551758,139.72434997558594,14.28261661529541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46060106,0.7490709,0.7237316,1.2487097,3.8304582,3.30775,3.2990515,1.1966107,1.2399112,0.63516265,0.16936168,0.6649124,1.7036912,2.3211105,weighted_spatial_mean,MML_shr_unet,True
23,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,23,430.4664306640625,54.482486724853516,446.0230407714844,550.631103515625,40.04679489135742,254.90943908691406,1363.2255859375,156.4177703857422,1.930376648902893,15.7568998336792,5.610776424407959,7.447685718536377,17.80145835876465,8.732908248901367,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.94125,2.0400813,4.641167,5.640333,1.7728783,4.5939903,6.0877357,3.660597,0.9552991,1.0632354,1.5981996,1.5449771,2.3065705,3.8237164,weighted_spatial_mean,MML_shr_unet,True
24,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,24,2.078338146209717,3.407783031463623,18.91551399230957,5.09081506729126,2.684375762939453,26.36322593688965,10.236387252807617,0.27571073174476624,0.9369350671768188,13.036176681518555,10.507274627685547,42.26799774169922,10.101665496826172,8.727858543395996,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0824463,0.78355724,0.9169951,0.6880969,1.0262852,0.94120044,2.4414814,0.32816705,0.67207414,1.7271788,1.2992482,1.2818924,3.5464761,3.0242903,weighted_spatial_mean,MML_shr_unet,True
